user_id,attempt_id,action_type,event_time
78,7,hint,2025-04-01
78,11,hint,2025-04-01
97,22,hint,2025-04-01
97,24,hint,2025-04-01
97,27,hint,2025-04-01
97,28,hint,2025-04-01
157,34,hint,2025-04-01
157,35,hint,2025-04-01
157,39,booster,2025-04-01
157,45,hint,2025-04-01
157,46,hint,2025-04-01
157,48,booster,2025-04-01
157,49,booster,2025-04-01
157,55,hint,2025-04-01
157,61,hint,2025-04-01
157,64,booster,2025-04-01
211,68,hint,2025-04-01
211,71,hint,2025-04-01
211,72,booster,2025-04-01
211,75,hint,2025-04-01
211,77,hint,2025-04-01
211,78,hint,2025-04-01
211,84,booster,2025-04-01
231,93,hint,2025-04-01
231,94,booster,2025-04-01
231,98,hint,2025-04-01
231,99,hint,2025-04-01
231,103,hint,2025-04-01
231,114,hint,2025-04-01
231,115,booster,2025-04-01
231,116,hint,2025-04-01
231,119,hint,2025-04-01
231,120,hint,2025-04-01
231,122,hint,2025-04-01
231,125,hint,2025-04-01
231,128,booster,2025-04-01
231,129,hint,2025-04-01
231,132,booster,2025-04-01
231,134,hint,2025-04-01
249,138,hint,2025-04-01
249,140,booster,2025-04-01
249,142,booster,2025-04-01
249,147,hint,2025-04-01
249,149,hint,2025-04-01
249,152,booster,2025-04-01
249,153,booster,2025-04-01
249,158,hint,2025-04-01
249,160,booster,2025-04-01
249,164,booster,2025-04-01
249,169,booster,2025-04-01
249,171,hint,2025-04-01
249,173,hint,2025-04-01
249,180,hint,2025-04-01
249,181,booster,2025-04-01
249,185,booster,2025-04-01
249,188,booster,2025-04-01
249,189,booster,2025-04-01
249,195,hint,2025-04-01
249,197,booster,2025-04-01
249,200,hint,2025-04-01
249,202,booster,2025-04-01
249,203,hint,2025-04-01
249,208,booster,2025-04-01
249,214,booster,2025-04-01
249,215,booster,2025-04-01
249,222,booster,2025-04-01
249,227,booster,2025-04-01
249,229,booster,2025-04-01
249,231,booster,2025-04-01
249,236,booster,2025-04-01
292,238,hint,2025-04-01
292,240,hint,2025-04-01
292,242,hint,2025-04-01
315,243,booster,2025-04-01
315,246,hint,2025-04-01
315,249,booster,2025-04-01
315,255,hint,2025-04-01
315,257,hint,2025-04-01
315,261,hint,2025-04-01
315,263,booster,2025-04-01
315,264,booster,2025-04-01
315,265,hint,2025-04-01
470,278,booster,2025-04-01
470,280,hint,2025-04-01
470,294,booster,2025-04-01
470,295,booster,2025-04-01
470,296,hint,2025-04-01
470,298,booster,2025-04-01
470,304,hint,2025-04-01
470,306,booster,2025-04-01
470,307,booster,2025-04-01
470,310,booster,2025-04-01
470,311,booster,2025-04-01
470,313,booster,2025-04-01
470,316,booster,2025-04-01
470,318,booster,2025-04-01
470,319,booster,2025-04-01
470,321,hint,2025-04-01
470,327,booster,2025-04-01
470,328,hint,2025-04-01
470,334,booster,2025-04-01
470,342,booster,2025-04-01
470,344,booster,2025-04-01
470,349,booster,2025-04-01
470,350,booster,2025-04-01
470,355,hint,2025-04-01
470,359,booster,2025-04-01
470,364,booster,2025-04-01
470,365,booster,2025-04-01
470,366,booster,2025-04-01
481,369,hint,2025-04-01
481,370,hint,2025-04-01
481,373,hint,2025-04-01
481,374,hint,2025-04-01
481,378,hint,2025-04-01
481,379,hint,2025-04-01
481,380,booster,2025-04-01
30,383,hint,2025-04-02
69,388,hint,2025-04-02
78,393,hint,2025-04-02
78,394,hint,2025-04-02
78,395,hint,2025-04-02
78,396,hint,2025-04-02
78,399,hint,2025-04-02
83,400,hint,2025-04-02
83,402,booster,2025-04-02
83,403,hint,2025-04-02
83,404,hint,2025-04-02
83,406,hint,2025-04-02
92,408,booster,2025-04-02
92,411,hint,2025-04-02
92,415,booster,2025-04-02
92,416,booster,2025-04-02
92,418,hint,2025-04-02
92,422,hint,2025-04-02
92,428,hint,2025-04-02
92,430,hint,2025-04-02
92,438,hint,2025-04-02
96,443,booster,2025-04-02
96,444,hint,2025-04-02
96,445,hint,2025-04-02
105,450,booster,2025-04-02
105,456,booster,2025-04-02
105,459,booster,2025-04-02
105,462,booster,2025-04-02
105,463,booster,2025-04-02
105,466,booster,2025-04-02
105,467,booster,2025-04-02
107,475,hint,2025-04-02
107,477,hint,2025-04-02
107,481,hint,2025-04-02
107,482,booster,2025-04-02
150,484,hint,2025-04-02
150,487,hint,2025-04-02
150,489,hint,2025-04-02
150,490,hint,2025-04-02
150,498,booster,2025-04-02
157,503,booster,2025-04-02
198,507,booster,2025-04-02
198,515,booster,2025-04-02
198,517,booster,2025-04-02
198,518,booster,2025-04-02
198,524,booster,2025-04-02
198,525,hint,2025-04-02
209,530,hint,2025-04-02
211,532,hint,2025-04-02
231,537,booster,2025-04-02
231,540,hint,2025-04-02
231,541,hint,2025-04-02
231,544,booster,2025-04-02
231,545,hint,2025-04-02
231,547,hint,2025-04-02
231,550,hint,2025-04-02
231,551,hint,2025-04-02
231,552,booster,2025-04-02
231,554,hint,2025-04-02
231,556,hint,2025-04-02
231,559,hint,2025-04-02
231,560,hint,2025-04-02
231,561,hint,2025-04-02
238,573,hint,2025-04-02
238,576,hint,2025-04-02
238,580,hint,2025-04-02
238,584,hint,2025-04-02
238,587,hint,2025-04-02
238,588,booster,2025-04-02
249,594,booster,2025-04-02
249,595,booster,2025-04-02
249,600,booster,2025-04-02
249,602,booster,2025-04-02
249,604,booster,2025-04-02
249,605,booster,2025-04-02
249,606,hint,2025-04-02
249,608,booster,2025-04-02
249,611,hint,2025-04-02
249,613,booster,2025-04-02
249,621,booster,2025-04-02
249,622,booster,2025-04-02
249,623,booster,2025-04-02
249,624,booster,2025-04-02
249,626,booster,2025-04-02
249,631,booster,2025-04-02
249,634,booster,2025-04-02
249,637,booster,2025-04-02
249,640,booster,2025-04-02
249,644,hint,2025-04-02
249,647,booster,2025-04-02
